%LR04age	RedSea
382.109	-54.37
382.246	-61.6
382.382	-37.87
382.52	-43.01
382.656	-34.41
382.724	-49.95
382.793	-40.92
382.929	-42.31
383.065	-39.47
383.202	-44.29
383.338	-45.48
383.483	-46.31
383.62	-38.48
383.756	-39.68
383.892	-38.66
383.893	-41.56
384.03	-41.9
384.166	-39.42
384.304	-39.66
384.44	-40.01
384.576	-40.845
384.713	-45.45
384.73	-30.62
384.849	-45.42
384.958	-37.65
385.068	-39.52
385.177	-41.98
385.184	-37.97
385.293	-32.39
385.348	-29.69
385.402	-39.51
385.537	-37.31
385.685	-35.58
385.833	-36.275
385.98	-33.27
386.127	-36.93
386.275	-30.43
386.422	-36.45
386.569	-33.56
386.717	-32.2
386.863	-27.39
387.01	-30.88
387.166	-28.33
387.314	-35.59
387.461	-28.07
387.609	-29.41
387.904	-27.36
388.051	-37.46
388.078	-27.97
388.198	-25.54
388.272	-33.5
388.346	-27.15
388.64	-29.24
388.787	-39.88
388.934	-27.18
389.09	-29.12
389.444	-24.29
389.629	-35.41
389.766	-29.62
389.905	-32.78
390.181	-32.15
390.365	-17.74
390.521	-27.61
390.676	-19.5
391.003	-28.86
391.158	-22.78
391.333	-19.52
391.4	-21.4
391.488	-20.85
391.815	-10.62
391.97	-20.47
392.126	-22.27
392.297	-28.41
392.608	-15.45
392.783	-15.97
392.938	-17.62
392.954	-6.43
393.11	-19.79
393.42	-13.8
393.639	-13.9
393.733	-16.61
393.846	-12.87
394.053	-19.41
